treat,debt,lopen,lrer,bndvol,gdpgvol,pivol,spreadvol
1,26.4,78.4,99.4,0.4,1.2,0.2,1.1
1,26.4,78.4,99.4,0.4,1.2,0.2,1.1
1,6.2,85.5,96.2,0.3,1.1,0.4,1
1,23.5,87.6,96.4,0.5,0.5,0.7,0.6
1,25.3,87,97.1,0.5,1,0.4,0.1
0,36.3,86.5,100.5,0.4,1,0.5,0.1
0,25.3,90.9,101.8,0.4,0.6,0.4,0.1
0,6.5,94.2,101.3,0.5,0.8,0.5,0.2
0,6.7,98.2,100.5,0.3,1.1,0.9,0.5
0,3.7,100.8,101.3,0.2,3.8,1.3,2
0,23.1,102.1,102,0.6,3.2,1.3,1.7
0,0.6,86.8,102.8,0.4,3.6,1.4,1.1
0,79.4,98.7,100,0.5,1,0.7,0.9
0,80.1,104.8,100.5,0.7,1.4,0.6,0.4
0,85.4,105,98.8,0.4,0.3,0.4,0.7
1,83.5,103.8,101,0.6,0.4,0.6,0.6
1,40.6,102.7,102.3,0.6,3.6,0.4,0.3
1,45.5,102.1,99.6,0.6,3.6,0.4,0.3
1,6.2,124,95.1,0.4,1.6,0,1.1
1,6.2,124,95.1,0.4,1.6,0,1.1
1,6.5,141.1,91,0.3,1.4,0.5,1
1,6.7,138.7,91.5,0.5,0.6,0.5,0.5
1,6.7,135.1,93,0.5,1.5,0.3,0.1
1,6.9,132,97.3,0.4,1.4,0.6,0.1
1,7,136,99,0.4,0.8,0.5,0.1
1,7,143.4,99.3,0.5,0.7,0.6,0.2
1,6.8,147.7,98.9,0.3,1.3,1.5,0.4
1,6.6,151.2,99.7,0.3,2.8,2.2,2.1
1,6.8,158.9,103.1,0.5,2.5,2.2,1.7
1,7.2,136.4,103.3,0.4,2.7,1.8,1.6
1,7,151.1,100,0.6,1.3,0.7,1.2
1,7.6,162.8,101,0.9,1,1.2,0.3
1,8.1,164,98.8,0.6,0.9,1.3,0.5
1,29.6,162.5,100.4,0.8,1,0.4,0.5
1,23.2,165.5,99.7,0.6,1.5,0.9,0.3
